,name,watchtime,budget,weekend_gross_us_canada,weekend_date
307,Jay and Silent Bob Reboot,105.0,10000000.0,93520.0,2019-10-20
308,The Death of Stalin,107.0,13000000.0,184805.0,2018-3-11
309,Bridget Jones's Baby,123.0,35000000.0,8571785.0,2016-9-18
310,It Comes at Night,91.0,5000000.0,5988370.0,2017-6-11
311,Slender Man,93.0,10000000.0,11371866.0,2018-8-12
312,Death Wish,107.0,30000000.0,13010267.0,2018-3-4
313,Miracles from Heaven,109.0,13000000.0,14812393.0,2016-3-20
314,The Hate U Give,133.0,23000000.0,512035.0,2018-10-7
315,Grimsby,83.0,35000000.0,3258327.0,2016-3-13
316,Underworld: Blood Wars,91.0,35000000.0,13688751.0,2017-1-8
317,Night School,111.0,29000000.0,27257615.0,2018-9-30
318,A Ghost Story,92.0,100000.0,104030.0,2017-7-9
319,Color Out of Space,111.0,6000000.0,216162.0,2020-1-26
320,Long Shot,125.0,40000000.0,9740064.0,2019-5-5
321,London Fields,118.0,8000000.0,168575.0,2018-10-28
322,Huisdiergeheimen 2,86.0,80000000.0,46652680.0,2019-6-9
323,Peppermint,101.0,25000000.0,13423255.0,2018-9-9
324,Serenity,106.0,25000000.0,4415403.0,2019-1-27
325,Mike and Dave Need Wedding Dates,98.0,33000000.0,16628170.0,2016-7-10
326,Ouija: Origin of Evil,99.0,9000000.0,14065500.0,2016-10-23
327,The Curse of La Llorona,93.0,9000000.0,26347631.0,2019-4-21
328,I Feel Pretty,110.0,32000000.0,16030218.0,2018-4-22
329,Captive State,109.0,25000000.0,3131525.0,2019-3-17
330,Bad Neighbours 2,92.0,35000000.0,21760405.0,2016-5-22
331,Everybody Wants Some!!,117.0,10000000.0,312355.0,2016-4-3
332,47 Meters Down: Uncaged,90.0,12000000.0,8427265.0,2019-8-18
333,Zoolander 2,101.0,50000000.0,13841146.0,2016-2-14
334,Allegiant,120.0,110000000.0,29027348.0,2016-3-20
335,"Hail, Caesar!",106.0,22000000.0,11355225.0,2016-2-7
336,Trolls,92.0,125000000.0,46581142.0,2016-11-6
