,name,watchtime,budget,weekend_gross_us_canada,weekend_date,vader_sentiment,text_blob_polarity,text_blob_subjectivity,popularity,weekend_roi
141,Charlie's Angels,118.0,48000000.0,8351109.0,2019-11-17,0.014820408467360453,0.06900970793279568,0.21779419699383276,100.0,0.1739814375
142,Mortal Engines,128.0,100000000.0,7559850.0,2018-12-16,0.08580996320112635,0.09224256461312139,0.2775025900419272,100.0,0.0755985
143,The Nun,96.0,22000000.0,53807379.0,2018-9-9,0.06022524954353034,0.06920637718355802,0.2983601569799398,5310.0,2.4457899545454547
144,Overlord,110.0,38000000.0,10202108.0,2018-11-11,-0.0009873614258754948,0.051920490022744466,0.27484737439937545,100.0,0.2684765263157895
145,X-Men: Dark Phoenix,113.0,200000000.0,32828348.0,2019-6-9,0.05459860351009547,-0.06216748831825638,0.407667533452533,2761.0,0.16414174
146,Fighting with My Family,108.0,11000000.0,138780.0,2019-2-17,-0.013033347981951764,0.04932078419848196,0.3506240184381379,444.0,0.012616363636363636
147,Warcraft: The Beginning,123.0,160000000.0,24166110.0,2016-6-12,0.07357420192949546,0.15234931680849456,0.2807971060111409,424.0,0.1510381875
148,Bombshell,109.0,32000000.0,319157.0,2019-12-15,-0.03824764916349,0.0237859852548386,0.25579853760268023,130.0,0.00997365625
149,Mandy,121.0,6000000.0,225723.0,2018-9-16,0.02797272281094808,0.18216582616889657,0.386304034045047,16671.0,0.0376205
150,Disobedience,114.0,6000000.0,237393.0,2018-4-29,0.11974914885248639,0.13408106865075375,0.29469027997885683,3807.0,0.0395655
151,The Magnificent Seven,132.0,90000000.0,34703397.0,2016-9-25,0.5462959725357557,0.647522575771008,0.7610229136156463,286.0,0.3855933
152,Central Intelligence,107.0,50000000.0,35535250.0,2016-6-19,0.2898626712414844,0.04507803076893383,0.30315485573654977,719.0,0.710705
153,Now You See Me 2,129.0,90000000.0,22383146.0,2016-6-12,0.0681292110915503,0.06056017745116282,0.3362043051912894,60226.0,0.24870162222222222
154,Cats,110.0,95000000.0,6619870.0,2019-12-22,0.06765706403491208,0.02769217275791038,0.3063563907502214,171.0,0.06968284210526315
155,The Girl on the Train,112.0,45000000.0,24536265.0,2016-10-9,0.05838889040904323,0.07056403991794208,0.30626761954427406,3783.0,0.5452503333333333
156,The Goldfinch,149.0,45000000.0,2679027.0,2019-9-15,0.300970295970696,0.1886734929125108,0.4757829039280825,1110.0,0.05953393333333333
157,Valerian and the City of a Thousand Planets,136.0,177200000.0,17007624.0,2017-7-23,0.10528205951715522,0.09987519814266042,0.2732976513995235,480.0,0.09597981941309255
158,Tomb Raider,119.0,94000000.0,23633317.0,2018-3-18,0.08251394484960313,0.040174423203164916,0.2503830854969129,42916.0,0.2514182659574468
159,Power Rangers,124.0,100000000.0,40300288.0,2017-3-26,0.05534469838986689,0.1271482122765506,0.4067589195707024,11445.0,0.40300288
160,Mid90s,85.0,1700000.0,258157.0,2018-10-21,0.09843680073478665,0.08926231730065763,0.35430184793504577,42.0,0.1518570588235294
161,Incredibles 2,118.0,200000000.0,182687905.0,2018-6-17,0.08983147573549767,0.12375361701737762,0.306825308595331,37208.0,0.913439525
162,Mary Queen of Scots,124.0,25000000.0,194777.0,2018-12-9,0.11243790222338935,0.1505663163010688,0.2954652386377045,64.0,0.00779108
163,Fast & Furious 8,136.0,250000000.0,98786705.0,2017-4-16,-0.38780093944022836,0.17991802909314827,0.5320917005852037,752.0,0.39514682
164,Don't Breathe,88.0,9900000.0,26411706.0,2016-8-28,0.004827810478658237,0.04891430796916839,0.35169192117883624,6082.0,2.667849090909091
165,Sicario: Day of the Soldado,122.0,35000000.0,19007566.0,2018-7-1,0.03011722222222223,-0.008589713535409027,0.35505852361498097,325.0,0.5430733142857143
